bodytype,seats,kms,modelYear,fueltype,ownerNo,transmission,price,Insurance,engine_cc,oem,Gearbox,Mileage,DriveType,city
Sedan,5.0,120000,2007,Diesel,3,Manual,204999,Third Party insurance,1991.0,Hyundai,6,13.6,FWD,chennai
Hatchback,5.0,60000,2015,Petrol,2,Manual,525000,Third Party insurance,1199.0,Volkswagen,5,16.2,FWD,chennai
Hatchback,5.0,73686,2017,Diesel,1,Manual,620000,Third Party insurance,1248.0,Maruti,5,25.2,FWD,chennai
SUV,7.0,44000,2018,Diesel,2,Manual,825000,Comprehensive,1493.0,Mahindra,5,18.49,RWD,chennai
Hatchback,5.0,75581,2015,Petrol,1,Manual,530000,Comprehensive,1197.0,Maruti,5,21.21,FWD,chennai
SUV,5.0,58000,2015,Diesel,1,Automatic,3600000,Comprehensive,2143.0,Mercedes-Benz,7,15.26,AWD,chennai
Sedan,5.0,50000,2015,Diesel,2,Automatic,1950000,Comprehensive,1968.0,Audi,6,20.38,FWD,chennai
SUV,7.0,100000,2015,Diesel,1,Manual,650000,Third Party insurance,1493.0,Mahindra,5,18.49,RWD,chennai
Sedan,5.0,108902,2017,Diesel,1,Manual,650000,Third Party insurance,1248.0,Maruti,5,28.09,FWD,chennai
Sedan,5.0,100425,2016,Diesel,1,Manual,570000,Comprehensive,1498.0,Volkswagen,5,21.66,FWD,chennai
Sedan,5.0,70887,2016,Petrol,2,Manual,458000,Third Party,1197.0,Hyundai,5,19.1,FWD,chennai
Sedan,5.0,114981,2016,Petrol,2,Manual,577000,Comprehensive,1497.0,Honda,5,17.8,FWD,chennai
SUV,5.0,45000,2018,Petrol,1,Manual,900000,Comprehensive,1199.0,Honda,5,17.5,FWD,chennai
Hatchback,5.0,45416,2021,Petrol,1,Manual,649000,Comprehensive,1197.0,Hyundai,5,20.7,FWD,chennai
Hatchback,5.0,119468,2016,Petrol,1,Manual,549000,Third Party insurance,1197.0,Hyundai,5,18.6,FWD,chennai
